cycle	score	consistency	profit_pct	trades_per_day	pass_count	status	note
17	0.525487	0.707801	53.031	14.230	0.071	2/14	discard	no_improvement
18	0.535030	0.732932	47.580	17.250	0.071	2/14	discard	no_improvement
19	0.577884	0.673515	75.572	15.150	0.071	2/14	discard	no_improvement
20	0.256081	0.685333	75.286	4.120	0.071	2/14	discard	no_improvement
0	0.609690	0.718872	61.030	15.200	0.071	3/14	keep	baseline
1	0.612155	0.706404	57.122	21.570	0.071	3/14	keep	promoted
2	0.606237	0.706404	57.122	21.520	0.071	3/14	discard	no_improvement
3	0.625258	0.702395	44.793	21.920	0.071	4/14	keep	promoted
4	0.581693	0.695756	33.803	21.660	0.071	4/14	discard	no_improvement
5	0.285294	0.676485	75.666	6.890	0.071	1/14	discard	no_improvement
6	0.618609	0.693432	42.743	21.050	0.071	4/14	discard	no_improvement
7	0.590815	0.785274	27.459	21.120	0.071	1/14	discard	no_improvement
8	0.616769	0.711873	33.154	20.460	0.071	3/14	discard	no_improvement
9	0.400795	0.674796	37.594	9.810	0.071	2/14	discard	no_improvement
10	0.406100	0.742151	46.753	9.510	0.071	2/14	discard	no_improvement
11	0.527267	0.730233	14.714	23.070	0.071	2/14	discard	no_improvement
12	0.596782	0.699917	49.353	21.480	0.071	3/14	discard	no_improvement
13	0.618555	0.770850	40.947	17.090	0.071	3/14	discard	no_improvement
14	0.352139	0.844700	36.448	8.240	0.071	1/14	discard	no_improvement
15	0.569308	0.711514	34.509	17.360	0.071	3/14	discard	no_improvement
16	0.595325	0.680442	80.846	21.320	0.071	1/14	discard	no_improvement
17	0.542394	0.711873	33.154	23.790	0.071	3/14	discard	no_improvement
18	0.294451	0.690329	81.135	5.050	0.071	2/14	discard	no_improvement
19	0.368733	0.646124	55.085	8.900	0.071	2/14	discard	no_improvement
20	0.567133	0.695903	22.861	21.670	0.071	3/14	discard	no_improvement
0	0.625258	0.702395	44.793	21.890	0.071	4/14	keep	baseline
1	0.627062	0.698314	43.988	22.140	0.071	4/14	keep	promoted
2	0.474899	0.702881	46.438	10.120	0.071	4/14	discard	no_improvement
3	0.466140	0.698454	37.630	11.240	0.071	2/14	discard	no_improvement
4	0.542195	0.725188	40.299	15.960	0.071	2/14	discard	no_improvement
5	0.567194	0.706038	32.909	22.050	0.071	3/14	discard	no_improvement
6	0.479822	0.706324	52.427	10.750	0.071	3/14	discard	no_improvement
7	0.589131	0.686552	30.909	21.170	0.071	4/14	discard	no_improvement
8	0.621352	0.689442	42.437	21.880	0.071	4/14	discard	no_improvement
9	0.605900	0.688235	29.571	21.700	0.071	3/14	discard	no_improvement
10	0.405730	0.719301	35.292	9.410	0.071	3/14	discard	no_improvement
11	0.527532	0.721980	13.457	23.410	0.071	2/14	discard	no_improvement
12	0.596113	0.694452	48.376	21.690	0.071	3/14	discard	no_improvement
13	0.619509	0.765409	39.873	16.800	0.071	3/14	discard	no_improvement
14	0.377232	0.670698	10.666	9.310	0.071	1/14	discard	no_improvement
15	0.560457	0.706053	33.374	21.110	0.071	3/14	discard	no_improvement
16	0.597235	0.687621	47.064	21.540	0.071	2/14	discard	no_improvement
17	0.549497	0.706432	32.080	23.810	0.071	3/14	discard	no_improvement
18	0.593377	0.690329	81.135	15.180	0.071	2/14	discard	no_improvement
19	0.422853	0.697782	82.757	9.450	0.071	2/14	discard	no_improvement
20	0.568996	0.695903	23.374	21.890	0.071	3/14	discard	no_improvement
0	0.627062	0.698314	43.988	22.170	0.071	4/14	keep	baseline
1	0.626208	0.698314	44.469	22.340	0.071	4/14	discard	no_improvement
2	0.474899	0.702881	46.438	10.120	0.071	4/14	discard	no_improvement
3	0.466140	0.698454	37.630	11.240	0.071	2/14	discard	no_improvement
4	0.542195	0.725188	40.299	15.960	0.071	2/14	discard	no_improvement
5	0.567194	0.706038	32.909	22.050	0.071	3/14	discard	no_improvement
6	0.479822	0.706324	52.427	10.750	0.071	3/14	discard	no_improvement
7	0.589131	0.686552	30.909	21.200	0.071	4/14	discard	no_improvement
